"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2013-2014","58","Mecklenburg County","1020","LaCrosse Elementary","18","57","54","58","60","59","65"," "," "," "," "," "," "," ","371"," ","371"
"2013-2014","58","Mecklenburg County","990","Park View High"," "," "," "," "," "," "," "," "," "," ","225","214","200","172","811"," ","811"
"2013-2014","58","Mecklenburg County","950","Park View Middle"," "," "," "," "," "," "," ","190","215","204"," "," "," "," ","609"," ","609"
"2013-2014","58","Mecklenburg County","190","South Hill Elementary","73","117","114","119","137","145","136"," "," "," "," "," "," "," ","841"," ","841"
"2013-2014","59","Middlesex County","291","Middlesex Elementary","55","82","86","86","92","95","99"," "," "," "," "," "," "," ","595"," ","595"
"2013-2014","59","Middlesex County","90","Middlesex High"," "," "," "," "," "," "," "," "," "," ","78","88","96","70","332","1","333"
"2013-2014","59","Middlesex County","140","St. Clare Walker Middle"," "," "," "," "," "," "," ","96","96","100"," "," "," "," ","292","1","293"
"2013-2014","60","Montgomery County","902","Auburn Elementary","18","92","93","75","89","88","92"," "," "," "," "," "," "," ","547"," ","547"
"2013-2014","60","Montgomery County","650","Auburn High"," "," "," "," "," "," "," "," "," "," ","107","100","97","84","388"," ","388"
"2013-2014","60","Montgomery County","903","Auburn Middle"," "," "," "," "," "," "," ","89","88","116"," "," "," "," ","293"," ","293"
"2013-2014","60","Montgomery County","700","Belview Elementary","22","51","50","43","41","40","45"," "," "," "," "," "," "," ","292"," ","292"
"2013-2014","60","Montgomery County","760","Blacksburg High"," "," "," "," "," "," "," "," "," "," ","295","317","280","247","1,139"," ","1,139"
"2013-2014","60","Montgomery County","710","Blacksburg Middle"," "," "," "," "," "," "," ","259","299","271"," "," "," "," ","829"," ","829"
"2013-2014","60","Montgomery County","740","Christiansburg Elementary"," "," "," "," ","132","140","145"," "," "," "," "," "," "," ","417"," ","417"
"2013-2014","60","Montgomery County","770","Christiansburg High"," "," "," "," "," "," "," "," "," "," ","316","286","261","233","1,096"," ","1,096"
"2013-2014","60","Montgomery County","671","Christiansburg Middle"," "," "," "," "," "," "," ","219","291","288"," "," "," "," ","798"," ","798"
"2013-2014","60","Montgomery County","780","Christiansburg Primary","26","163","156","129"," "," "," "," "," "," "," "," "," "," ","474"," ","474"
"2013-2014","60","Montgomery County","30","Eastern Montgomery Elementary","38","69","81","93","80","74","69"," "," "," "," "," "," "," ","504"," ","504"
"2013-2014","60","Montgomery County","904","Eastern Montgomery High"," "," "," "," "," "," "," "," "," "," ","78","74","79","58","289"," ","289"
"2013-2014","60","Montgomery County","600","Falling Branch Elementary","24","78","102","61","86","91","95"," "," "," "," "," "," "," ","537"," ","537"
"2013-2014","60","Montgomery County","750","Gilbert Linkous Elementary","20","59","59","63","59","48","61"," "," "," "," "," "," "," ","369"," ","369"
"2013-2014","60","Montgomery County","10","Harding Avenue Elementary","5","49","39","53","56","36","41"," "," "," "," "," "," "," ","279"," ","279"
"2013-2014","60","Montgomery County","901","Kipps Elementary"," ","63","61","55","71","55","67"," "," "," "," "," "," "," ","372"," ","372"
"2013-2014","60","Montgomery County","730","Margaret Beeks Elementary","21","60","85","72","78","68","56"," "," "," "," "," "," "," ","440"," ","440"
"2013-2014","60","Montgomery County","210","Prices Fork Elementary","40","71","83","68","55","51","52"," "," "," "," "," "," "," ","420"," ","420"
"2013-2014","60","Montgomery County","290","Shawsville Middle"," "," "," "," "," "," "," ","74","87","79"," "," "," "," ","240"," ","240"
"2013-2014","62","Nelson County","710","Nelson County High"," "," "," "," "," "," "," "," "," "," ","168","178","129","136","611"," ","611"
"2013-2014","62","Nelson County","730","Nelson Middle"," "," "," "," "," "," "," ","133","156","156"," "," "," "," ","445"," ","445"
"2013-2014","62","Nelson County","10","Rockfish River Elementary","21","59","68","64","58","84","70"," "," "," "," "," "," "," ","424","1","425"
"2013-2014","62","Nelson County","20","Tye River Elementary","26","82","79","66","77","68","93"," "," "," "," "," "," "," ","491"," ","491"
"2013-2014","63","New Kent County","180","George W. Watkins Elementary","9","97","101","118","115","108","118"," "," "," "," "," "," "," ","666"," ","666"
"2013-2014","63","New Kent County","10","New Kent Elementary","52","94","124","102","107","109","114"," "," "," "," "," "," "," ","702"," ","702"
"2013-2014","63","New Kent County","20","New Kent High"," "," "," "," "," "," "," "," "," "," ","241","221","238","236","936"," ","936"
"2013-2014","63","New Kent County","100","New Kent Middle"," "," "," "," "," "," "," ","226","214","233"," "," "," "," ","673"," ","673"
"2013-2014","117","Newport News City","1404","Achievable Dream Academy"," ","126","143","142","111","95","89"," "," "," "," "," "," "," ","706"," ","706"
"2013-2014","117","Newport News City","1405","Achievable Dream Middle/High"," "," "," "," "," "," "," ","85","83","70","74","60","57","54","483"," ","483"
"2013-2014","117","Newport News City","1250","B.C. Charles Elementary","1","70","81","67","107","126","138"," "," "," "," "," "," "," ","590"," ","590"
"2013-2014","117","Newport News City","110","B.T. Washington Middle"," "," "," "," "," "," "," ","149","149","145"," "," "," "," ","443"," ","443"
"2013-2014","117","Newport News City","1170","Carver Elementary","16","125","129","123","112","114","104"," "," "," "," "," "," "," ","723"," ","723"
"2013-2014","117","Newport News City","1393","Crittenden Middle"," "," "," "," "," "," "," ","308","286","251"," "," "," "," ","845"," ","845"
"2013-2014","117","Newport News City","50","David A. Dutrow Elementary"," ","81","86","84","62","77","76"," "," "," "," "," "," "," ","466"," ","466"
"2013-2014","117","Newport News City","1398","Deer Park Elementary"," ","74","90","95","87","88","64"," "," "," "," "," "," "," ","498"," ","498"
"2013-2014","117","Newport News City","1402","Denbigh Early Childhood Center","532"," "," "," "," "," "," "," "," "," "," "," "," "," ","532"," ","532"
"2013-2014","117","Newport News City","280","Denbigh High"," "," "," "," "," "," "," "," "," "," ","425","337","331","310","1,403"," ","1,403"
"2013-2014","117","Newport News City","1260","Ethel M. Gildersleeve Middle"," "," "," "," "," "," "," ","362","328","394"," "," "," "," ","1,084"," ","1,084"
"2013-2014","117","Newport News City","1408","Gatewood Academy","88"," "," "," "," "," "," "," "," "," "," "," "," "," ","88"," ","88"
"2013-2014","117","Newport News City","1407","General Stanford Elementary","1","90","93","84","89","67","70"," "," "," "," "," "," "," ","494"," ","494"
"2013-2014","117","Newport News City","70","George J. McIntosh Elementary","29","89","100","76","63","52","63"," "," "," "," "," "," "," ","472"," ","472"
"2013-2014","117","Newport News City","1395","Heritage High"," "," "," "," "," "," "," "," "," "," ","441","305","279","268","1,293"," ","1,293"
"2013-2014","117","Newport News City","1210","Hidenwood Elementary","3","99","100","69","97","106","84"," "," "," "," "," "," "," ","558"," ","558"
"2013-2014","117","Newport News City","1080","Hilton Elementary","2","44","73","74","65","76","66"," "," "," "," "," "," "," ","400"," ","400"
"2013-2014","117","Newport News City","1270","Homer L. Hines Middle"," "," "," "," "," "," "," ","317","344","288"," "," "," "," ","949"," ","949"
"2013-2014","117","Newport News City","1240","Horace H. Epes Elementary","11","128","110","103","73","62","53"," "," "," "," "," "," "," ","540"," ","540"
"2013-2014","117","Newport News City","91","Huntington Middle"," "," "," "," "," "," "," ","189","175","222"," "," "," "," ","586"," ","586"
"2013-2014","117","Newport News City","20","J.M. Dozier Middle"," "," "," "," "," "," "," ","357","379","407"," "," "," "," ","1,143"," ","1,143"
"2013-2014","117","Newport News City","1411","John Marshall Early Childhood Center","301"," "," "," "," "," "," "," "," "," "," "," "," "," ","301"," ","301"
"2013-2014","117","Newport News City","300","Joseph H. Saunders Elementary"," ","100","119","99","101","98","105"," "," "," "," "," "," "," ","622"," ","622"
"2013-2014","117","Newport News City","1290","Kiln Creek Elementary","3","133","153","137","123","95","108"," "," "," "," "," "," "," ","752"," ","752"
