"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","22","Clarke County","250","Boyce Elementary","304"," ","304"
"2010-2011","22","Clarke County","10","Clarke County High","728","3","731"
"2010-2011","22","Clarke County","290","D.G. Cooley Elementary","569","2","571"
"2010-2011","22","Clarke County","280","Johnson-Williams Middle","481","3","484"
"2010-2011","202","Colonial Beach","22","Colonial Beach Elementary","369"," ","369"
"2010-2011","202","Colonial Beach","21","Colonial Beach High","221"," ","221"
"2010-2011","106","Colonial Heights City","40","Colonial Heights High","933","1","934"
"2010-2011","106","Colonial Heights City","20","Colonial Heights Middle","696"," ","696"
"2010-2011","106","Colonial Heights City","50","Lakeview Elementary","341"," ","341"
"2010-2011","106","Colonial Heights City","30","North Elementary","325"," ","325"
"2010-2011","106","Colonial Heights City","60","Tussing Elementary","632"," ","632"
"2010-2011","107","Covington City","350","Covington High","334"," ","334"
"2010-2011","107","Covington City","260","Edgemont Primary","368"," ","368"
"2010-2011","107","Covington City","360","Jeter-Watson Intermediate","278"," ","278"
"2010-2011","23","Craig County","11","Craig County High","373"," ","373"
"2010-2011","23","Craig County","10","McCleary Elementary","345"," ","345"
"2010-2011","24","Culpeper County","240","A.G. Richardson Elementary","605"," ","605"
"2010-2011","24","Culpeper County","480","Culpeper County High","1,011","2","1,013"
"2010-2011","24","Culpeper County","20","Culpeper Middle","1,012","4","1,016"
"2010-2011","24","Culpeper County","50","Eastern View High","1,222","2","1,224"
